uid_ref,name,color,description
family-friendly,Family Friendly,#10B981,Great with children and other pets
hypoallergenic,Hypoallergenic,#6366F1,Suitable for people with allergies
outdoor,Outdoor,#F59E0B,Loves outdoor activities and exercise
indoor,Indoor,#3B82F6,Well suited to indoor life
beginner,Beginner Friendly,#EC4899,Easy to care for — ideal first pet
rare-breed,Rare Breed,#8B5CF6,Uncommon breed not often seen in stores
vaccinated,Vaccinated,#14B8A6,Up to date with all recommended vaccinations
neutered,Neutered,#F97316,Already neutered before rehoming
senior,Senior,#9CA3AF,Older animal seeking a calm and patient home
puppy-kitten,Puppy / Kitten,#FCD34D,Young animal under 12 months old
rescue,Rescue,#F87171,Rehomed from a shelter or difficult situation
show-quality,Show Quality,#A78BFA,Meets breed standard for competitions and exhibitions
apartment-friendly,Apartment Friendly,#34D399,Well suited to smaller homes and urban living
low-maintenance,Low Maintenance,#60A5FA,Minimal daily care requirements — ideal for busy owners
