page_uid_ref,CType,colPos,header,bodytext
home,camino_hero,2,Welcome to Happy Paws Petstore,"We have been connecting people with their perfect animal companions since 2003. Browse our selection of dogs, cats, birds, fish, and small animals."
home,text,0,Why Choose Us?,"Licensed and inspected facility. All animals are health-checked and vaccinated before adoption. Our experienced staff are passionate animal lovers ready to guide you."
about,camino_hero,2,Our Story,"Happy Paws was founded in 2003 by Maria and Tom Fischer. What started as a small shop in Dresden has grown into one of the region's most trusted pet stores. We believe every animal deserves a loving home."
about,text,0,Our Team,"Our team of 12 includes certified veterinary nurses, trained groomers, and lifelong animal enthusiasts. Every staff member completes ongoing welfare training."
pets,camino_hero,2,Find Your Perfect Pet,"From playful puppies to serene aquarium fish, we have an animal for every lifestyle. Use the categories to explore by species, or visit us in store for a guided tour."
adopt,camino_hero,2,Adoption at Happy Paws,"All our rescue animals receive a full health check, vaccinations, and microchipping before adoption. Adoption fees cover these costs and support our rescue partners."
adopt,text,0,How Adoption Works,"1. Browse our available animals online or in store. 2. Meet the animal and speak to our welfare team. 3. Complete the adoption form. 4. Take your new companion home."
services,camino_hero,2,Professional Pet Care,"From a relaxing groom to a full veterinary consultation, our in-house services keep your pet healthy and happy all year round."
services-grooming,camino_hero,2,Grooming Packages,"We offer three grooming tiers: Express Wash & Dry, Full Groom, and Luxury Spa. All sessions include nail trim and ear clean. Book online or by phone."
services-vet,camino_hero,2,Veterinary Consultations,"Our partner vet holds weekly clinics on-site. Services include general health checks, vaccination boosters, microchipping, and nutritional advice."
services-training,camino_hero,2,Training Courses,"Group puppy classes run every Saturday morning. One-to-one behaviour sessions available by appointment. Positive reinforcement methods only."
contact,camino_hero,2,Visit Us,"Happy Paws Petstore, Hauptstraße 42, 01234 Dresden. Open Monday to Saturday 09:00 – 18:00, Sunday 10:00 – 16:00."
contact,text,0,Get in Touch,"Phone: +49 351 123 4567. Email: hello@happypaws.example. We aim to respond to all enquiries within one working day."
blog,camino_hero,2,Latest from the Blog,"Tips on pet care, stories from our customers, seasonal advice, and news from Happy Paws. New posts every week."
