uid_ref,name,latin_name,status,gender,price,weight_kg,stock_quantity,description,care_notes,category_uid_ref,tags_uid_refs
rex,Rex,Canis lupus familiaris,available,male,450.00,8.50,1,Rex is a playful 2-year-old Border Collie with boundless energy and a love for fetch. He is house-trained and great with older children.,Daily exercise of at least 60 minutes. Brush coat twice a week. Thrives with mental stimulation.,dogs,"family-friendly,outdoor,vaccinated"
luna,Luna,Felis catus,available,female,180.00,3.20,1,Luna is a gentle 1-year-old Siamese cat who loves warm laps and sunny windowsills. She is quiet and adapts quickly to new homes.,Indoor only. Brush weekly. Interactive play daily to prevent boredom.,cats,"indoor,family-friendly,vaccinated,neutered"
tweety,Tweety,Melopsittacus undulatus,available,unknown,45.00,0.03,2,Tweety is a cheerful budgerigar who mimics sounds and enjoys human interaction. Comes hand-tamed from our aviary.,Fresh water daily. Social species — consider keeping a pair. Cage minimum 60 cm wide.,birds,"beginner,indoor,vaccinated"
nemo,Nemo,Amphiprion ocellaris,available,unknown,28.00,0.01,3,Nemo is a captive-bred clownfish ideal for a marine aquarium. Hardy and adaptable.,Saltwater tank 100 l minimum. Temperature 24–26 °C. Feed twice daily with marine flake.,fish,"beginner,indoor"
fluffy,Fluffy,Oryctolagus cuniculus,available,female,65.00,1.80,1,Fluffy is a Holland Lop rabbit with floppy ears and a calm temperament. Litter-trained and used to being handled.,Daily hay as 80 % of diet. Fresh vegetables. Clean enclosure weekly. Needs daily free-roaming time.,small-animals,"indoor,beginner,family-friendly,neutered"
max,Max,Canis lupus familiaris,pending,male,800.00,28.00,1,Max is a purebred German Shepherd with Schutzhund I title. Excellent temperament and fully trained for family protection.,2 hours exercise daily. Professional grooming every 6 weeks. Not suitable for first-time dog owners.,dogs,"outdoor,vaccinated,rare-breed"
pepper,Pepper,Nymphicus hollandicus,available,female,95.00,0.09,1,Pepper is a hand-reared cockatiel with a friendly confident character. She whistles tunes and enjoys head scratches.,Out-of-cage time at least 2 hours daily. Varied diet of seeds pellets and fresh fruit.,birds,"beginner,indoor,family-friendly"
goldie,Goldie,Carassius auratus,available,unknown,8.00,0.05,5,Goldie is a fancy goldfish with a flowing twin tail. Perfect centrepiece for a cold-water aquarium.,Cold-water tank 80 l minimum per fish. Weekly 20 % water change. Feed once daily.,fish,"beginner,indoor"
bella,Bella,Felis catus,available,female,220.00,4.10,1,Bella is a British Shorthair with a plush blue-grey coat and an unflappable temperament. She suits apartment life perfectly and rarely demands attention.,Brush once a week. Monitor food intake — breed is prone to obesity. Annual vet check.,cats,"indoor,apartment-friendly,vaccinated,neutered"
rocky,Rocky,Canis lupus familiaris,available,male,550.00,30.00,1,Rocky is a two-year-old Labrador Retriever with an outgoing personality and an unshakeable love of water. He gets on with everyone.,90 minutes exercise daily. Weekly brushing. Keep away from standing water unsupervised.,dogs,"family-friendly,outdoor,vaccinated"
cleo,Cleo,Pogona vitticeps,available,female,150.00,0.40,1,Cleo is a captive-bred bearded dragon who is fully tame and enjoys sitting on shoulders. A calm and rewarding reptile for beginners.,UV-B lighting essential. Basking spot 40 °C. Insects and leafy greens daily.,reptiles,"beginner,indoor"
whiskers,Whiskers,Cavia porcellus,available,unknown,35.00,0.95,2,Whiskers is a long-haired guinea pig who chatters and purrs when handled. Social by nature — happiest in pairs.,Daily hay and Vitamin C-rich vegetables. Fresh water always available. Clean cage twice weekly.,small-animals,"beginner,family-friendly,indoor,apartment-friendly"
shadow,Shadow,Canis lupus familiaris,available,male,350.00,27.00,1,Shadow is a three-year-old rescued Dobermann who has completed basic obedience training. Affectionate and loyal with known people.,Minimum 2 hours exercise daily. Not recommended with small children or other dogs.,dogs,"outdoor,rescue,vaccinated,neutered"
kiwi,Kiwi,Amazona amazonica,available,unknown,380.00,0.42,1,Kiwi is an Orange-winged Amazon parrot with a large vocabulary and a strong personality. Bonds deeply with one person and never stops talking.,Out-of-cage minimum 3 hours daily. Varied fresh diet essential. Loud — not suited to apartments.,birds,"indoor,rare-breed"
mochi,Mochi,Felis catus,available,female,120.00,2.80,1,Mochi is a rescued tabby approximately 7 years old. Calm and undemanding — a perfect companion for a quieter household.,Indoor only. Twice-daily feeding. Annual dental check required. Settled and litter-trained.,cats,"indoor,rescue,senior,neutered,vaccinated"
spot,Spot,Carassius auratus,available,unknown,6.00,0.03,8,Spot is a common comet goldfish suited to a garden pond or large cold-water aquarium. Hardy and long-lived.,Pond minimum 1000 l or aquarium 80 l per fish. Weekly partial water change. No tropical fish mix.,fish,"beginner,low-maintenance"
duke,Duke,Canis lupus familiaris,available,male,1200.00,42.00,1,Duke is a two-year-old purebred Rottweiler from champion lines with Schutzhund BH title. Outstanding character and drive.,Experienced owners only. Structured daily exercise. Professional grooming every 8 weeks.,dogs,"outdoor,show-quality,vaccinated,rare-breed"
hammy,Hammy,Mesocricetus auratus,available,unknown,15.00,0.12,3,Hammy is a Syrian hamster — nocturnal and self-sufficient. Ideal first pet for older children who understand he sleeps during the day.,Nocturnal. Wheel essential. Spot-clean daily full clean weekly. No other hamsters in the same cage.,small-animals,"beginner,low-maintenance,apartment-friendly"
